Episode 1 reward -210.13652889626104 in 88 steps, epsilon=0.9921147460036905
Episode 2 reward -331.5756026459684 in 114 steps, epsilon=0.9820023878572844
Episode 3 reward -27.349075398004572 in 81 steps, epsilon=0.9748870246398769
Episode 4 reward -263.3374169722613 in 92 steps, epsilon=0.9668749759487396
Episode 5 reward -307.3441659781 in 93 steps, epsilon=0.9588504107376185
Episode 6 reward -159.81787251728332 in 113 steps, epsilon=0.9492000284441325
Episode 7 reward -124.32974343974158 in 62 steps, epsilon=0.9439512762131871
Episode 8 reward -379.4174487330691 in 144 steps, epsilon=0.9318854602075379
Episode 9 reward -224.13722834172466 in 75 steps, epsilon=0.9256696576521113
Episode 10 reward -244.13696962249574 in 72 steps, epsilon=0.9197461862036054
Episode 11 reward -143.890732244714 in 89 steps, epsilon=0.9124828150920784
Episode 12 reward -154.1408134220805 in 79 steps, epsilon=0.9060894877464615
Episode 13 reward -134.31850556703102 in 63 steps, epsilon=0.9010270872790098
Episode 14 reward -237.88388845637735 in 100 steps, epsilon=0.8930567345891639
Episode 15 reward -328.73874811037797 in 104 steps, epsilon=0.8848516847632473
Episode 16 reward -136.6757240284293 in 83 steps, epsilon=0.8783643753562705
Episode 17 reward -85.68580596937966 in 134 steps, epsilon=0.8680038631853746
Episode 18 reward -451.63240169022134 in 88 steps, epsilon=0.8612750792616373
Episode 19 reward -182.6662380157939 in 94 steps, epsilon=0.8541526215129501
Episode 20 reward -152.6859086011611 in 63 steps, epsilon=0.8494163947766973
Episode 21 reward -119.12910529950616 in 113 steps, epsilon=0.8409956562916452
Episode 22 reward -180.75402829077967 in 90 steps, epsilon=0.8343566158803336
Episode 23 reward -190.94592572379165 in 81 steps, epsilon=0.8284323529474532
Episode 24 reward -161.11551902877494 in 109 steps, epsilon=0.820535556028251
Episode 25 reward -199.5627281163388 in 113 steps, epsilon=0.812439334049676
Episode 26 reward -181.34833025748998 in 85 steps, epsilon=0.8064092638147564
Episode 27 reward -135.39013773421516 in 94 steps, epsilon=0.7998001283368398
Episode 28 reward -96.50356900036554 in 78 steps, epsilon=0.7943629200148863
Episode 29 reward -191.88145672121775 in 87 steps, epsilon=0.7883481647342486
Episode 30 reward -475.66273561343735 in 106 steps, epsilon=0.781090209310341
Episode 31 reward -116.19719551771547 in 63 steps, epsilon=0.7768128288874444
Episode 32 reward -166.55991159969767 in 68 steps, epsilon=0.7722261141552264
Episode 33 reward -194.4113607585412 in 73 steps, epsilon=0.7673367314815663
Episode 34 reward -131.27030304968974 in 63 steps, epsilon=0.7631457256034913
Episode 35 reward -153.99344261057394 in 111 steps, epsilon=0.755825510403806
Episode 36 reward -185.8173980093548 in 60 steps, epsilon=0.7519023386262241
Episode 37 reward -503.0437170679447 in 97 steps, epsilon=0.745609455764796
Episode 38 reward -238.90152339021523 in 107 steps, epsilon=0.7387382610367066
Episode 39 reward -186.2571373932737 in 104 steps, epsilon=0.7321298066488366
Episode 40 reward -250.06940706026998 in 56 steps, epsilon=0.7285997730508272
Episode 41 reward -107.2065637277411 in 81 steps, epsilon=0.7235286805399526
