Episode 97 reward -544.839664956 in 93 steps, epsilon=0.1
Episode 98 reward -456.375710163 in 87 steps, epsilon=0.1
Episode 99 reward -435.372273744 in 105 steps, epsilon=0.1
Episode 100 reward -738.108851406 in 197 steps, epsilon=0.1
Episode 101 reward -697.390781513 in 219 steps, epsilon=0.1
Episode 102 reward -476.79734167 in 105 steps, epsilon=0.1
Episode 103 reward -696.311018921 in 160 steps, epsilon=0.1
Episode 104 reward -593.43938934 in 160 steps, epsilon=0.1
Episode 105 reward -707.653439549 in 169 steps, epsilon=0.1
Episode 106 reward -752.163065514 in 199 steps, epsilon=0.1
Episode 107 reward -309.519015707 in 95 steps, epsilon=0.1
Episode 108 reward -452.754020123 in 83 steps, epsilon=0.1
Episode 109 reward -636.191546919 in 189 steps, epsilon=0.1
Episode 110 reward -412.493553769 in 88 steps, epsilon=0.1
Episode 111 reward -509.981849849 in 76 steps, epsilon=0.1
Episode 112 reward -957.889829957 in 182 steps, epsilon=0.1
Episode 113 reward -709.587669595 in 185 steps, epsilon=0.1
Episode 114 reward -478.90464614 in 114 steps, epsilon=0.1
Episode 115 reward -814.714604592 in 191 steps, epsilon=0.1
Episode 116 reward -665.281307195 in 213 steps, epsilon=0.1
Episode 117 reward -383.605407518 in 79 steps, epsilon=0.1
Episode 118 reward -805.077302169 in 212 steps, epsilon=0.1
Episode 119 reward -485.998068163 in 76 steps, epsilon=0.1
Episode 120 reward -765.712205187 in 182 steps, epsilon=0.1
Episode 121 reward -455.831110723 in 73 steps, epsilon=0.1
Episode 122 reward -631.472947632 in 163 steps, epsilon=0.1
Episode 123 reward -505.114641114 in 76 steps, epsilon=0.1
Episode 124 reward -545.312733743 in 156 steps, epsilon=0.1
Episode 125 reward -610.401812299 in 152 steps, epsilon=0.1
Episode 126 reward -767.171661181 in 180 steps, epsilon=0.1
Episode 127 reward -570.866801544 in 86 steps, epsilon=0.1
Episode 128 reward -491.995549396 in 110 steps, epsilon=0.1
Episode 129 reward -558.076234801 in 78 steps, epsilon=0.1
Episode 130 reward -482.37808478 in 75 steps, epsilon=0.1
Episode 131 reward -540.248727151 in 75 steps, epsilon=0.1
Episode 132 reward -441.841696514 in 112 steps, epsilon=0.1
Episode 133 reward -522.183123655 in 82 steps, epsilon=0.1
Episode 134 reward -616.187556877 in 227 steps, epsilon=0.1
Episode 135 reward -464.345075661 in 99 steps, epsilon=0.1
Episode 136 reward -545.564802226 in 87 steps, epsilon=0.1
Episode 137 reward -631.56430954 in 85 steps, epsilon=0.1
Episode 138 reward -518.913510536 in 68 steps, epsilon=0.1
Episode 139 reward -501.947986519 in 95 steps, epsilon=0.1
Episode 140 reward -461.343880438 in 205 steps, epsilon=0.1
Episode 141 reward -488.418210066 in 93 steps, epsilon=0.1
Episode 142 reward -631.175727599 in 150 steps, epsilon=0.1
Episode 143 reward -666.219331408 in 170 steps, epsilon=0.1
Episode 144 reward -502.243612722 in 76 steps, epsilon=0.1
Episode 145 reward -559.712719311 in 83 steps, epsilon=0.1
Episode 146 reward -568.077220808 in 77 steps, epsilon=0.1
Episode 147 reward -528.995000149 in 65 steps, epsilon=0.1
Episode 148 reward -536.318450775 in 75 steps, epsilon=0.1
Episode 149 reward -556.257189705 in 73 steps, epsilon=0.1
Episode 150 reward -467.818769106 in 185 steps, epsilon=0.1
Episode 151 reward -646.209803653 in 160 steps, epsilon=0.1
Episode 152 reward -528.57113805 in 65 steps, epsilon=0.1
Episode 153 reward -474.405797344 in 89 steps, epsilon=0.1
Episode 154 reward -601.935822944 in 79 steps, epsilon=0.1
Episode 155 reward -420.598090474 in 62 steps, epsilon=0.1
Episode 156 reward -588.808383926 in 209 steps, epsilon=0.1
Episode 157 reward -482.656006847 in 68 steps, epsilon=0.1
Episode 158 reward -553.724611719 in 83 steps, epsilon=0.1
Episode 159 reward -504.194355473 in 99 steps, epsilon=0.1
Episode 160 reward -587.705561872 in 72 steps, epsilon=0.1
Episode 161 reward -573.821264162 in 121 steps, epsilon=0.1
Episode 162 reward -594.015142231 in 72 steps, epsilon=0.1
Episode 163 reward -563.649370324 in 197 steps, epsilon=0.1
Episode 164 reward -554.324659579 in 77 steps, epsilon=0.1
Episode 165 reward -576.860209401 in 72 steps, epsilon=0.1
Episode 166 reward -499.16766701 in 82 steps, epsilon=0.1
Episode 167 reward -547.136517921 in 72 steps, epsilon=0.1
Episode 168 reward -526.510223089 in 61 steps, epsilon=0.1
Episode 169 reward -570.60392992 in 67 steps, epsilon=0.1
Episode 170 reward -639.072070029 in 122 steps, epsilon=0.1
Episode 171 reward -525.049788072 in 68 steps, epsilon=0.1
Episode 172 reward -535.000146859 in 70 steps, epsilon=0.1
Episode 173 reward -550.942700196 in 170 steps, epsilon=0.1
Episode 174 reward -551.212880447 in 65 steps, epsilon=0.1
Episode 175 reward -661.549317819 in 159 steps, epsilon=0.1
Episode 176 reward -533.775040452 in 66 steps, epsilon=0.1
Episode 177 reward -472.548242332 in 61 steps, epsilon=0.1
Episode 178 reward -598.009728326 in 87 steps, epsilon=0.1
