Episode 1 reward -394.34460795849196 in 123 steps, epsilon=0.9988936805259557
Episode 2 reward -169.8245511840442 in 104 steps, epsilon=0.9979593170514328
Episode 3 reward -25.762717842838864 in 1000 steps, epsilon=0.9890244725602876
Episode 4 reward -215.0086932309934 in 113 steps, epsilon=0.9880204422902342
Episode 5 reward -155.16664678205575 in 69 steps, epsilon=0.9874079195297081
Episode 6 reward -455.8009134303594 in 101 steps, epsilon=0.9865120900010481
Episode 7 reward -152.08372896253718 in 61 steps, epsilon=0.98597148252819
Episode 8 reward -155.54021927050215 in 68 steps, epsilon=0.9853692267102558
Episode 9 reward -342.4728719119685 in 110 steps, epsilon=0.9843958560129064
Episode 10 reward -107.53040599474477 in 76 steps, epsilon=0.9837239705111673
Episode 11 reward -225.890557529259 in 119 steps, epsilon=0.9826729644588875
Episode 12 reward -396.27697233789934 in 95 steps, epsilon=0.9818348233227265
Episode 13 reward -206.71105825113682 in 96 steps, epsilon=0.9809886681118226
Episode 14 reward -470.83295335960105 in 124 steps, epsilon=0.9798969191875865
Episode 15 reward -171.84147672033498 in 120 steps, epsilon=0.9788416761570089
Episode 16 reward -139.8321807137642 in 57 steps, epsilon=0.9783408791423075
Episode 17 reward -241.9215210847307 in 127 steps, epsilon=0.977226094264031
Episode 18 reward -243.52354009452822 in 84 steps, epsilon=0.9764895337435775
Episode 19 reward -285.13267723450525 in 116 steps, epsilon=0.9754733953586412
Episode 20 reward -198.6061005475301 in 136 steps, epsilon=0.9742835608118384
Episode 21 reward -163.57965451792023 in 123 steps, epsilon=0.9732088531127686
Episode 22 reward -169.55096354525455 in 66 steps, epsilon=0.9726327254127686
Episode 23 reward -285.3144921702209 in 81 steps, epsilon=0.9719261790950733
Episode 24 reward -134.06641154686253 in 70 steps, epsilon=0.9713160443417843
Episode 25 reward -183.8340024835913 in 117 steps, epsilon=0.9702972007096538
Episode 26 reward -203.82792886367872 in 136 steps, epsilon=0.9691144010027981
Episode 27 reward -153.52405036185087 in 109 steps, epsilon=0.9681675824155781
Episode 28 reward -209.65715152412275 in 97 steps, epsilon=0.9673258681580472
Episode 29 reward -136.74305700708382 in 72 steps, epsilon=0.9667016182898935
Episode 30 reward -435.26573840905866 in 115 steps, epsilon=0.9657054843156776
Episode 31 reward -238.03456802737728 in 125 steps, epsilon=0.9646240285109755
Episode 32 reward -157.84327544879346 in 71 steps, epsilon=0.9640103633276519
Episode 33 reward -430.40070339540125 in 100 steps, epsilon=0.9631467848255402
Episode 34 reward -227.29338839848288 in 89 steps, epsilon=0.9623789259349369
Episode 35 reward -231.72226170441493 in 95 steps, epsilon=0.9615600549805878
Episode 36 reward -294.9196408350741 in 75 steps, epsilon=0.9609141271925509
Episode 37 reward -122.55952021053174 in 71 steps, epsilon=0.9603030951043039
Episode 38 reward -187.65144188072767 in 70 steps, epsilon=0.9597010936628171
Episode 39 reward -378.1494921910441 in 92 steps, epsilon=0.9589105323706026
Episode 40 reward -165.07561261714568 in 127 steps, epsilon=0.9578204083697542
Episode 41 reward -153.09573466492463 in 134 steps, epsilon=0.9566716988298158
Episode 42 reward -159.50827975516927 in 116 steps, epsilon=0.9556785358050942
Episode 43 reward -433.27597885766653 in 89 steps, epsilon=0.9549173206991963
Episode 44 reward -267.68775621841297 in 97 steps, epsilon=0.9540884529639598
Episode 45 reward -195.46349990821892 in 88 steps, epsilon=0.9533371857314157
Episode 46 reward -165.27878279761526 in 85 steps, epsilon=0.9526121573042782
Episode 47 reward -345.9320474185672 in 124 steps, epsilon=0.9515555734465962
Episode 48 reward -137.2163806367135 in 85 steps, epsilon=0.9508320587464759
Episode 49 reward -175.69184414508854 in 131 steps, epsilon=0.949718198487279
Episode 50 reward -179.2316573935595 in 84 steps, epsilon=0.9490047348972093
Episode 51 reward -142.67751731265966 in 78 steps, epsilon=0.9483427694040933
Episode 52 reward -462.26383148209135 in 99 steps, epsilon=0.9475033256556004
Episode 53 reward -115.70979674930724 in 65 steps, epsilon=0.9469526274902171
Episode 54 reward -209.427629803035 in 99 steps, epsilon=0.9461145593012047
Episode 55 reward -153.50185787713622 in 73 steps, epsilon=0.9454971210652903
Episode 56 reward -144.4902978752691 in 80 steps, epsilon=0.9448209938553821
Episode 57 reward -144.54361150324476 in 73 steps, epsilon=0.9442044995776565
Episode 58 reward -147.4898698091634 in 88 steps, epsilon=0.9434619263981479
Episode 59 reward -163.68368653450034 in 135 steps, epsilon=0.9423240210564354
Episode 60 reward -163.53049319422195 in 74 steps, epsilon=0.9417009318522928
Episode 61 reward -150.0599657669103 in 65 steps, epsilon=0.9411540040173916
Episode 62 reward -322.2038206390406 in 102 steps, epsilon=0.9402964643528714
Episode 63 reward -264.6228560015137 in 81 steps, epsilon=0.9396160998015878
Episode 64 reward -149.92201099411832 in 134 steps, epsilon=0.9384917676986003
Episode 65 reward -118.32319319244586 in 72 steps, epsilon=0.937888270910772
Episode 66 reward -330.96632750757965 in 98 steps, epsilon=0.9370675426278237
Episode 67 reward -247.65242898842232 in 155 steps, epsilon=0.9357710929448149
Episode 68 reward -170.61461217601413 in 85 steps, epsilon=0.9350609893525926
Episode 69 reward -109.12602741296183 in 65 steps, epsilon=0.9345183760779323
Episode 70 reward -118.50798622550042 in 91 steps, epsilon=0.9337593097832473
Episode 71 reward -430.0340307515855 in 89 steps, epsilon=0.9330175941099742
Episode 72 reward -413.1408826582615 in 94 steps, epsilon=0.9322349254833958
Episode 73 reward -154.40656139957497 in 70 steps, epsilon=0.9316525648855464
Episode 74 reward -120.72540003925535 in 87 steps, epsilon=0.9309293418017547
Episode 75 reward -145.22115005252988 in 80 steps, epsilon=0.9302648641548109
Episode 76 reward -383.77008671732256 in 122 steps, epsilon=0.9292525586524581
Episode 77 reward -445.96039339923027 in 137 steps, epsilon=0.9281172605039061
Episode 78 reward -163.3048196835416 in 88 steps, epsilon=0.9273888378676302
Episode 79 reward -154.38473177698054 in 86 steps, epsilon=0.9266775893477641
Episode 80 reward -303.9381538304878 in 109 steps, epsilon=0.925777001684817
Episode 81 reward -405.10355897790754 in 89 steps, epsilon=0.9250423871052962
Episode 82 reward -176.82846062657774 in 94 steps, epsilon=0.9242672116509595
Episode 83 reward -77.90687519129403 in 100 steps, epsilon=0.9234433564355709
Episode 84 reward -465.19027516436796 in 77 steps, epsilon=0.9228095490982556
Episode 85 reward -211.08110149755407 in 176 steps, epsilon=0.9213626779119722
Episode 86 reward -160.1813171293043 in 111 steps, epsilon=0.9204514711527995
Episode 87 reward -428.30196673368 in 92 steps, epsilon=0.9196970029079468
Episode 88 reward -148.85443073573367 in 68 steps, epsilon=0.9191397984169671
Episode 89 reward -309.7857001575313 in 87 steps, epsilon=0.9184274567059196
Episode 90 reward -337.12798813131633 in 137 steps, epsilon=0.917306978792855
Episode 91 reward -430.04160748392144 in 93 steps, epsilon=0.9165472366374385
Episode 92 reward -218.14798828140772 in 97 steps, epsilon=0.9157555698383709
Episode 93 reward -296.2975415761691 in 125 steps, epsilon=0.9147365124196495
Episode 94 reward -118.16504404121517 in 147 steps, epsilon=0.9135397295972777
Episode 95 reward -149.6216318938034 in 86 steps, epsilon=0.9128403861905917
Episode 96 reward -476.0657698713664 in 108 steps, epsilon=0.9119629924514078
Episode 97 reward -224.34556131118083 in 83 steps, epsilon=0.9112893427709636
Episode 98 reward -330.07263393543303 in 71 steps, epsilon=0.9107135317746887
Episode 99 reward -122.66047710910176 in 95 steps, epsilon=0.9099437196381639
Episode 100 reward -461.3645159613656 in 100 steps, epsilon=0.9091341807554286
Episode 101 reward -213.1677883550023 in 137 steps, epsilon=0.9080264259131229
Episode 102 reward -268.81222487737523 in 122 steps, epsilon=0.9070412347623074
Episode 103 reward -395.73313053221744 in 217 steps, epsilon=0.9052918540474203
Episode 104 reward -168.64294978359516 in 75 steps, epsilon=0.9046881115886073
Episode 105 reward -164.70109664641234 in 106 steps, epsilon=0.9038355941044139
Episode 106 reward -293.4103231974071 in 125 steps, epsilon=0.9028314273467579
Episode 107 reward -113.36927049766753 in 73 steps, epsilon=0.9022455742671854
Episode 108 reward -324.73860610420047 in 174 steps, epsilon=0.9008508807032425
Episode 109 reward -295.4209010269236 in 121 steps, epsilon=0.8998824371640909
Episode 110 reward -215.6851729871902 in 110 steps, epsilon=0.8990030502346931
Episode 111 reward -309.47055350571 in 131 steps, epsilon=0.897957041524179
Episode 112 reward -210.72073991149261 in 112 steps, epsilon=0.8970638299295352
Episode 113 reward -434.57818202933703 in 91 steps, epsilon=0.8963388317684935
Episode 114 reward -216.07497762959648 in 97 steps, epsilon=0.895566757618178
Episode 115 reward -104.18402075723175 in 71 steps, epsilon=0.8950021056954218
Episode 116 reward -198.8836197454039 in 89 steps, epsilon=0.894294868588549
Episode 117 reward -110.1204660037534 in 85 steps, epsilon=0.893620004807988
Episode 118 reward -122.67502434002914 in 83 steps, epsilon=0.8929615734907933
Episode 119 reward -177.6889479586369 in 124 steps, epsilon=0.8919789105166207
Episode 120 reward -345.4983903929109 in 149 steps, epsilon=0.8907997406396654
Episode 121 reward -171.54673085236084 in 108 steps, epsilon=0.8899461379481982
Episode 122 reward -183.3312551976075 in 81 steps, epsilon=0.8893065406483366
Episode 123 reward -185.20806727574666 in 88 steps, epsilon=0.8886122564224299
Episode 124 reward -178.9353968981084 in 81 steps, epsilon=0.8879737391291423
Episode 125 reward -65.44533559581166 in 156 steps, epsilon=0.8867454584041617
Episode 126 reward -384.522330056433 in 123 steps, epsilon=0.8857783563799969
Episode 127 reward -403.1798426112035 in 86 steps, epsilon=0.8851028774910644
Episode 128 reward -664.1389085104285 in 129 steps, epsilon=0.8840907477431453
Episode 129 reward -342.6076360465843 in 124 steps, epsilon=0.883119077775827
Episode 130 reward -338.3859278155945 in 108 steps, epsilon=0.8822737657225022
Episode 131 reward -162.2097200624288 in 100 steps, epsilon=0.8814918829633162
Episode 132 reward -254.49608917732618 in 130 steps, epsilon=0.8804766035900417
Episode 133 reward -263.3917172305346 in 79 steps, epsilon=0.879860270556808
Episode 134 reward -285.5448370006264 in 101 steps, epsilon=0.8790730093173954
Episode 135 reward -151.22951418042322 in 62 steps, epsilon=0.8785901337585099
Episode 136 reward -395.8936759283067 in 123 steps, epsilon=0.8776330566170925
Episode 137 reward -164.52874896161524 in 86 steps, epsilon=0.8769645796746874
Episode 138 reward -139.14824072692193 in 132 steps, epsilon=0.8759396630233246
Episode 139 reward -276.7941815936922 in 140 steps, epsilon=0.874854107561223
Episode 140 reward -179.95785879295806 in 133 steps, epsilon=0.8738242366141578
Episode 141 reward -158.71926742022922 in 71 steps, epsilon=0.8732750164024088
Episode 142 reward -264.57847637856344 in 120 steps, epsilon=0.8723476429181013
Episode 143 reward -258.7556398678191 in 69 steps, epsilon=0.8718149068595643
Episode 144 reward -269.648340573376 in 131 steps, epsilon=0.8708044912982686
Episode 145 reward -200.40104597833687 in 116 steps, epsilon=0.8699108764851583
Episode 146 reward -85.88376472271979 in 92 steps, epsilon=0.8692028842051778
Episode 147 reward -385.8882885534147 in 108 steps, epsilon=0.8683725935279062
Episode 148 reward -234.04424709711307 in 108 steps, epsilon=0.8675431990805148
Episode 149 reward -330.0234091738414 in 91 steps, epsilon=0.8668450524742354
Episode 150 reward -270.5787153073909 in 64 steps, epsilon=0.86635442865702
Episode 151 reward -322.2611640448192 in 114 steps, epsilon=0.8654812823962813
Episode 152 reward -282.722583578407 in 77 steps, epsilon=0.864892088677529
Episode 153 reward -91.86750925779842 in 77 steps, epsilon=0.8643033484633184
