Episode 97 reward -581.764079163 in 78 steps, epsilon=0.3199599999999999
Episode 98 reward -361.769343402 in 53 steps, epsilon=0.31518999999999997
Episode 99 reward -939.623770945 in 93 steps, epsilon=0.30682
Episode 100 reward -499.001051462 in 58 steps, epsilon=0.3016
Episode 101 reward -716.772073953 in 83 steps, epsilon=0.29413
Episode 102 reward -435.342924952 in 73 steps, epsilon=0.2875599999999999
Episode 103 reward -213.765970801 in 54 steps, epsilon=0.28269999999999995
Episode 104 reward -554.71333111 in 69 steps, epsilon=0.2764899999999999
Episode 105 reward -538.608162282 in 62 steps, epsilon=0.27091
Episode 106 reward -564.467478377 in 78 steps, epsilon=0.26388999999999996
Episode 107 reward -339.012535176 in 59 steps, epsilon=0.2585799999999999
Episode 108 reward -403.360263891 in 64 steps, epsilon=0.25281999999999993
Episode 109 reward -487.800401238 in 69 steps, epsilon=0.24661
Episode 110 reward -323.239885073 in 53 steps, epsilon=0.24183999999999994
Episode 111 reward -552.927675462 in 73 steps, epsilon=0.23526999999999998
Episode 112 reward -374.275744507 in 56 steps, epsilon=0.23022999999999993
Episode 113 reward -633.964520742 in 73 steps, epsilon=0.22365999999999997
Episode 114 reward -552.711138579 in 70 steps, epsilon=0.21736
Episode 115 reward -487.172341701 in 60 steps, epsilon=0.21195999999999993
Episode 116 reward -411.463839272 in 55 steps, epsilon=0.20700999999999992
Episode 117 reward -697.957970894 in 84 steps, epsilon=0.1994499999999999
Episode 118 reward -561.122804122 in 71 steps, epsilon=0.1930599999999999
Episode 119 reward -647.318602709 in 71 steps, epsilon=0.18667
Episode 120 reward -715.84170368 in 77 steps, epsilon=0.1797399999999999
Episode 121 reward -503.434107389 in 54 steps, epsilon=0.17487999999999992
Episode 122 reward -486.170684893 in 59 steps, epsilon=0.16957
Episode 123 reward -481.84866103 in 60 steps, epsilon=0.16416999999999993
Episode 124 reward -506.847261972 in 60 steps, epsilon=0.15876999999999997
Episode 125 reward -625.682576305 in 68 steps, epsilon=0.15264999999999995
Episode 126 reward -505.6368824 in 68 steps, epsilon=0.14652999999999994
Episode 127 reward -422.222265269 in 55 steps, epsilon=0.14157999999999993
Episode 128 reward -580.155526243 in 63 steps, epsilon=0.13590999999999998
Episode 129 reward -535.320119594 in 63 steps, epsilon=0.1302399999999999
Episode 130 reward -334.702804903 in 53 steps, epsilon=0.12546999999999997
Episode 131 reward -470.921200353 in 56 steps, epsilon=0.12042999999999993
Episode 132 reward -451.16024985 in 50 steps, epsilon=0.11592999999999998
Episode 133 reward -617.774440488 in 65 steps, epsilon=0.11007999999999996
Episode 134 reward -435.497063011 in 53 steps, epsilon=0.1053099999999999
Episode 135 reward -902.768181982 in 87 steps, epsilon=0.1
Episode 136 reward -494.358674235 in 67 steps, epsilon=0.1
Episode 137 reward -468.76892601 in 59 steps, epsilon=0.1
Episode 138 reward -453.18829015 in 51 steps, epsilon=0.1
Episode 139 reward -545.58126863 in 56 steps, epsilon=0.1
Episode 140 reward -663.727183154 in 97 steps, epsilon=0.1
Episode 141 reward -411.39667972 in 55 steps, epsilon=0.1
Episode 142 reward -779.944448664 in 84 steps, epsilon=0.1
Episode 143 reward -759.070445504 in 82 steps, epsilon=0.1
Episode 144 reward -786.579448951 in 86 steps, epsilon=0.1
Episode 145 reward -498.682876668 in 54 steps, epsilon=0.1
Episode 146 reward -435.510251451 in 54 steps, epsilon=0.1
Episode 147 reward -391.620765582 in 55 steps, epsilon=0.1
Episode 148 reward -469.856794011 in 72 steps, epsilon=0.1
Episode 149 reward -489.53248494 in 53 steps, epsilon=0.1
